School Name_x,Generated Revenue,Year,key,YEAR,School Name_y,SEED,ROUND,POWER RATING,Rank,School Name,Conference,Total Allocated
Nebraska,"$17,052,987.00",2021-22,Nebraska_22,,,,,,,,,
Nebraska,"$17,500,617.00",2022-23,Nebraska_23,,,,,,26.0,Nebraska_23,Big 10,"$131,181,951.00"
,,,Nevada-Las_Vegas_23,,,,,,59.0,Nevada-Las_Vegas_23,MWC,"$62,644,050.00"
Nevada,"$6,314,076.00",2021-22,Nevada_22,,,,,,,,,
Nevada,"$7,090,897.00",2022-23,Nevada_23,2023.0,Nevada,11.0,68.0,79.6,71.0,Nevada_23,MWC,"$45,228,707.00"
,,,New_Hampshire_23,,,,,,103.0,New_Hampshire_23,AmEast,"$31,716,448.00"
,,,New_Jersey_Tech_23,,,,,,151.0,New_Jersey_Tech_23,AmEast,"$20,064,224.00"
New Mexico,"$3,160,407.00",2021-22,New_Mexico_22,,,,,,,,,
New Mexico,"$4,112,983.00",2022-23,New_Mexico_23,,,,,,74.0,New_Mexico_23,MWC,"$44,865,758.00"
,,,New_Mexico_St._22,2022.0,New Mexico St.,12.0,32.0,77.7,,,,
New Mexico State,"$1,766,157.00",2021-22,New_Mexico_State_22,,,,,,,,,
New Mexico State,"$1,540,661.00",2022-23,New_Mexico_State_23,,,,,,113.0,New_Mexico_State_23,WAC,"$32,457,148.00"
,,,New_Orleans_23,,,,,,232.0,New_Orleans_23,SthLnd,"$4,810,778.00"
,,,Nicholls_State_23,,,,,,220.0,Nicholls_State_23,SthLnd,"$11,164,752.00"
,,,Norfolk_St._22,2022.0,Norfolk St.,16.0,64.0,71.4,,,,
,,,Norfolk_State_23,,,,,,185.0,Norfolk_State_23,MEAC,"$15,928,886.00"
,,,North_Alabama_23,,,,,,198.0,North_Alabama_23,Asun,"$13,788,806.00"
North Carolina,"$32,234,012.00",2021-22,North_Carolina_22,2022.0,North Carolina,8.0,2.0,84.0,,,,
North Carolina,"$31,740,589.00",2022-23,North_Carolina_23,,,,,,32.0,North_Carolina_23,ACC,"$120,314,967.00"
,,,North_Carolina_A&T_23,,,,,,179.0,North_Carolina_A&T_23,CAA,"$15,829,584.00"
,,,North_Carolina_Asheville_23,,,,,,225.0,North_Carolina_Asheville_23,BigSou,"$8,884,929.00"
,,,North_Carolina_Central_23,,,,,,216.0,North_Carolina_Central_23,MEAC,"$11,339,477.00"
,,,North_Carolina_Greensboro_23,,,,,,159.0,North_Carolina_Greensboro_23,SoCon,"$17,118,048.00"
,,,North_Carolina_St._23,2023.0,North Carolina St.,11.0,64.0,81.4,,,,
,,,North_Carolina_State_23,,,,,,48.0,North_Carolina_State_23,ACC,"$100,991,410.00"
,,,North_Carolina_Wilmington_23,,,,,,183.0,North_Carolina_Wilmington_23,CAA,"$15,141,319.00"
,,,North_Dakota_23,,,,,,110.0,North_Dakota_23,Summit,"$30,837,768.00"
